,JWTR_label,AGEP,JWMNP,RAC1P_label,PINCP,DPHY_label
1,"Car, truck, or van",20,20,White alone,4000,No
2,Subway or elevated,63,60,White alone,15200,No
3,"Car, truck, or van",20,20,White alone,4000,No
4,Subway or elevated,60,60,Black or African American alone,34300,No
5,Walked,61,25,White alone,36000,No
6,Subway or elevated,29,50,White alone,4700,No
7,Walked,21,15,Black or African American alone,15000,No
8,"Car, truck, or van",34,138,White alone,122900,No
9,Bus or trolley bus,29,45,Black or African American alone,30000,No
10,Subway or elevated,47,45,White alone,4200,No
11,"Car, truck, or van",74,15,White alone,59600,No
12,Subway or elevated,31,60,Some Other Race alone,39000,No
13,Bus or trolley bus,73,35,White alone,2900,No
14,"Car, truck, or van",40,60,Black or African American alone,60000,No
15,Walked,67,5,White alone,38300,No
16,Other method,59,20,White alone,95000,No
17,Subway or elevated,43,45,Black or African American alone,50000,No
18,Bus or trolley bus,58,90,Asian alone,10000,No
19,Subway or elevated,44,40,Some Other Race alone,10400,No
20,Subway or elevated,18,45,White alone,1000,No
21,Subway or elevated,25,75,White alone,65000,No
22,Bus or trolley bus,50,60,Black or African American alone,25000,No
23,Subway or elevated,49,20,White alone,17900,No
24,Subway or elevated,28,50,Asian alone,55000,No
25,"Car, truck, or van",46,15,Black or African American alone,35900,No
26,Bus or trolley bus,61,138,Black or African American alone,45000,No
27,Subway or elevated,39,90,White alone,54000,No
28,"Car, truck, or van",55,35,Black or African American alone,50000,No
29,Subway or elevated,26,60,Asian alone,16200,No
30,Bicycle,27,25,White alone,25000,No
31,Subway or elevated,32,30,Asian alone,79850,No
32,"Car, truck, or van",55,40,White alone,50000,No
33,"Car, truck, or van",55,60,Some Other Race alone,80000,No
34,"Car, truck, or van",33,60,Some Other Race alone,80000,No
35,Railroad,32,60,White alone,1.00E+05,No
36,Subway or elevated,62,60,Asian alone,60000,No
37,Subway or elevated,45,45,Black or African American alone,30000,No
38,Bus or trolley bus,41,60,Some Other Race alone,6700,No
39,Subway or elevated,32,45,White alone,90000,No
40,Subway or elevated,34,35,White alone,90000,No
41,Walked,20,10,Asian alone,3000,No
42,Taxicab,53,30,Black or African American alone,25000,No
43,Subway or elevated,31,60,Black or African American alone,90000,No
44,Ferryboat,53,60,White alone,660000,Yes
45,Subway or elevated,57,35,Black or African American alone,110120,No
46,Subway or elevated,53,60,Asian alone,102900,No
47,"Car, truck, or van",38,30,Two or More Races,72200,No
48,Walked,61,10,Asian alone,7000,No
49,Walked,48,30,White alone,172000,No
50,Subway or elevated,31,45,Black or African American alone,3700,Yes
51,Subway or elevated,60,45,Black or African American alone,27000,No
52,Subway or elevated,52,50,Asian alone,35000,No
53,Walked,27,10,Asian alone,600,No
54,Subway or elevated,53,60,Asian alone,13000,No
55,Taxicab,27,20,Black or African American alone,21700,No
56,Walked,50,10,White alone,69000,No
57,"Car, truck, or van",23,25,Asian alone,25000,No
58,"Car, truck, or van",25,20,White alone,20000,No
59,Subway or elevated,60,55,White alone,60000,No
60,Bus or trolley bus,69,55,White alone,26000,Yes
61,Taxicab,58,25,Black or African American alone,38000,No
62,Subway or elevated,76,40,White alone,101900,No
63,"Car, truck, or van",71,45,White alone,47300,No
64,Subway or elevated,29,30,Some Other Race alone,52000,No
65,Other method,54,60,Black or African American alone,52000,No
66,Subway or elevated,55,60,Asian alone,30000,No
67,Subway or elevated,28,60,Black or African American alone,6000,Yes
68,Subway or elevated,44,45,Some Other Race alone,19000,No
69,"Car, truck, or van",55,30,Asian alone,1000,No
70,Subway or elevated,23,60,Asian alone,20000,No
71,Walked,48,15,Asian alone,8000,No
72,"Car, truck, or van",27,10,White alone,42000,No
73,Bus or trolley bus,27,90,Black or African American alone,10200,No
74,"Car, truck, or van",52,15,White alone,9000,No
75,Subway or elevated,21,15,White alone,4000,No
76,Railroad,66,30,Black or African American alone,50000,No
77,Railroad,58,138,Black or African American alone,24000,No
78,"Car, truck, or van",29,30,White alone,50000,No
79,Bus or trolley bus,46,60,Some Other Race alone,20000,No
80,"Car, truck, or van",35,40,Asian alone,35000,No
81,"Car, truck, or van",43,40,Asian alone,130000,No
82,"Car, truck, or van",51,30,Black or African American alone,60000,No
83,Subway or elevated,26,45,White alone,34000,No
84,Bus or trolley bus,56,30,White alone,27000,No
85,"Car, truck, or van",35,45,White alone,126000,No
86,Bus or trolley bus,54,45,White alone,35000,No
87,Subway or elevated,21,60,Some Other Race alone,60000,No
88,Subway or elevated,42,45,White alone,1.00E+05,No
89,Subway or elevated,60,40,White alone,37000,No
90,Subway or elevated,40,90,White alone,171000,No
91,Subway or elevated,38,70,White alone,45000,No
92,Subway or elevated,43,50,White alone,40000,No
93,Subway or elevated,26,80,White alone,35000,No
94,"Car, truck, or van",33,30,White alone,60000,No
95,Ferryboat,57,40,White alone,668000,No
96,Subway or elevated,47,60,Asian alone,6000,No
97,Subway or elevated,24,45,White alone,72000,No
98,Subway or elevated,40,60,Asian alone,15000,No
99,Bus or trolley bus,48,40,Black or African American alone,69000,No
100,"Car, truck, or van",45,45,White alone,5900,No
101,Subway or elevated,32,60,Some Other Race alone,68000,No
102,"Car, truck, or van",26,40,White alone,80000,No
103,Walked,34,10,White alone,25000,No
104,Subway or elevated,44,138,Black or African American alone,42000,No
105,Subway or elevated,65,90,Black or African American alone,78000,No
106,Bus or trolley bus,42,10,Asian alone,36000,No
107,Walked,28,15,Some Other Race alone,5800,No
108,Walked,34,15,White alone,53000,No
109,"Car, truck, or van",45,5,Two or More Races,180000,No
110,"Car, truck, or van",34,10,White alone,50000,No
111,Subway or elevated,33,45,White alone,73000,No
112,"Car, truck, or van",26,20,Some Other Race alone,35000,No
113,Subway or elevated,36,60,Two or More Races,30700,No
114,Walked,57,15,Asian alone,50000,No
115,"Car, truck, or van",67,30,White alone,196300,No
