"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"1","Female","Walked",5,20,5000
"2","Female","Walked",10,21,5550
"3","Female","Walked",10,19,1200
"4","Female","Walked",5,52,14100
"5","Female","Walked",4,19,5500
"6","Female","Walked",15,21,1000
"7","Female","Walked",10,21,2000
"8","Female","Walked",15,21,2800
"9","Female","Walked",3,20,15000
"10","Female","Walked",10,19,2000
"11","Female","Walked",2,21,3000
"12","Female","Walked",10,20,3000
"13","Female","Walked",5,19,5000
"14","Female","Walked",5,20,480
"15","Female","Walked",5,20,5000
"16","Female","Walked",7,20,25000
"17","Female","Walked",15,21,10000
"18","Female","Walked",8,20,14000
"19","Female","Walked",20,23,5400
"20","Female","Walked",5,20,5300
"21","Female","Walked",5,24,12000
"22","Female","Walked",1,20,12000
"23","Female","Walked",15,19,5000
"24","Female","Walked",10,21,2000
"25","Female","Walked",15,20,4000
"26","Female","Walked",5,20,1000
"27","Female","Walked",2,19,400
"28","Female","Walked",2,23,220
"29","Female","Walked",15,20,10000
"30","Female","Walked",8,19,500
"31","Female","Walked",5,22,2000
"32","Female","Walked",5,21,6000
"33","Female","Walked",5,20,4000
"34","Female","Walked",10,19,2000
"35","Female","Walked",5,19,3000
"36","Female","Walked",10,22,2000
"37","Female","Walked",2,22,10000
"38","Female","Walked",15,20,6000
"39","Female","Walked",27,19,5000
"40","Female","Walked",25,23,700
"41","Female","Walked",2,19,1300
"42","Female","Walked",10,23,20000
"43","Female","Walked",15,20,4000
"44","Female","Walked",5,21,6000
"45","Female","Walked",5,19,4300
"46","Female","Walked",5,20,350
"47","Female","Walked",1,27,30000
"48","Female","Walked",5,19,5200
"49","Female","Walked",10,23,12000
"50","Female","Walked",10,43,10400
"51","Female","Walked",5,80,27500
"52","Female","Walked",27,19,5000
"53","Female","Walked",5,21,2000
"54","Female","Walked",10,31,15600
"55","Female","Walked",15,21,12000
"56","Female","Walked",3,20,55000
"57","Female","Walked",15,19,1200
"58","Female","Walked",5,19,5200
"59","Female","Walked",20,20,3000
"60","Female","Walked",5,21,4500
"61","Female","Walked",10,19,3900
"62","Female","Walked",15,24,2500
"63","Female","Walked",10,20,7000
"64","Female","Walked",10,43,10400
"65","Female","Walked",5,20,5000
"66","Female","Walked",5,21,4000
"67","Female","Walked",15,28,36000
"68","Female","Walked",15,35,2500
"69","Female","Walked",5,21,4000
"70","Female","Walked",5,22,70000
"71","Female","Walked",10,22,1200
"72","Female","Walked",15,21,1000
"73","Female","Walked",15,21,10000
"74","Female","Walked",10,19,2000
"75","Female","Walked",2,20,2000
"76","Female","Walked",5,19,1800
"77","Female","Walked",20,21,7800
"78","Female","Walked",5,52,14100
"79","Female","Walked",15,20,4000
"80","Female","Walked",10,19,2000
"81","Female","Walked",10,21,3400
"82","Female","Walked",10,22,7000
"83","Female","Walked",10,23,5600
"84","Female","Walked",10,19,2000
"85","Female","Walked",4,19,5500
"86","Female","Walked",10,21,10000
"87","Female","Walked",20,19,3000
"88","Female","Walked",2,20,2300
"89","Female","Walked",15,21,12000
"90","Female","Walked",8,20,3800
"91","Female","Walked",20,20,3500
"92","Female","Walked",5,19,9000
"93","Female","Walked",5,21,10000
"94","Female","Walked",5,19,1000
"95","Female","Walked",5,80,27500
"96","Female","Walked",10,20,2400
"97","Female","Walked",30,20,3000
"98","Female","Walked",12,19,150
"99","Female","Walked",10,22,1300
"100","Female","Walked",15,20,2500
"101","Female","Walked",10,20,8200
"102","Female","Walked",10,19,2000
"103","Female","Walked",5,22,2000
"104","Female","Walked",5,20,1000
"105","Female","Walked",5,19,1900
"106","Female","Walked",2,23,6000
"107","Female","Walked",20,19,2000
"108","Female","Walked",25,22,700
"109","Female","Walked",5,20,350
"110","Female","Walked",25,20,2500
"111","Female","Walked",10,19,1000
"112","Female","Walked",27,19,5000
"113","Female","Walked",5,20,3000
"114","Female","Walked",10,22,1300
"115","Female","Walked",5,19,1000
"116","Female","Walked",10,21,3000
"117","Female","Walked",1,20,12000
"118","Female","Walked",5,20,5000
"119","Female","Walked",5,20,170
"120","Female","Walked",10,20,2000
"121","Female","Walked",2,20,2900
"122","Female","Walked",15,19,820
"123","Female","Walked",5,52,14100
"124","Female","Walked",5,19,5000
"125","Female","Walked",10,20,24000
"126","Female","Walked",2,19,1300
"127","Female","Walked",10,20,5000
"128","Female","Walked",10,20,5000
"129","Female","Walked",15,19,5000
"130","Female","Walked",5,20,3000
"131","Female","Walked",10,43,10400
"132","Female","Walked",5,28,36000
"133","Female","Walked",10,22,2400
"134","Female","Walked",5,19,1400
"135","Female","Walked",10,19,1500
"136","Female","Walked",10,22,4000
"137","Female","Walked",5,63,36000
"138","Female","Walked",30,44,22900
"139","Female","Walked",7,24,25000
"140","Female","Walked",25,24,60000
"141","Female","Walked",25,61,36000
"142","Female","Walked",10,38,18300
"143","Female","Walked",30,40,50000
"144","Female","Walked",20,67,195300
"145","Female","Walked",25,41,130000
"146","Female","Walked",10,40,74000
"147","Female","Walked",30,34,20000
"148","Female","Walked",5,49,20000
"149","Female","Walked",15,23,12800
"150","Female","Walked",20,43,64000
"151","Female","Walked",30,29,20000
"152","Female","Walked",25,48,137000
"153","Female","Walked",5,24,5000
"154","Female","Walked",7,44,2000
"155","Female","Walked",40,37,19000
"156","Female","Walked",5,40,35000
"157","Female","Walked",15,57,28900
"158","Female","Walked",20,58,20000
"159","Female","Walked",2,27,22200
"160","Female","Walked",15,41,35000
"161","Female","Walked",15,21,15000
"162","Female","Walked",5,34,1200
"163","Female","Walked",20,52,20000
"164","Female","Walked",15,36,14800
"165","Female","Walked",10,30,58000
"166","Female","Walked",20,35,22000
"167","Female","Walked",12,28,53000
"168","Female","Walked",5,31,41000
"169","Female","Walked",30,27,77000
"170","Female","Walked",10,38,75000
"171","Female","Walked",10,38,75000
"172","Female","Walked",30,27,80000
"173","Female","Walked",15,29,15000
"174","Female","Walked",5,44,82530
"175","Female","Walked",30,40,138000
"176","Female","Walked",10,33,76000
"177","Female","Walked",15,65,127200
"178","Female","Walked",20,49,38000
"179","Female","Walked",35,47,33200
"180","Female","Walked",10,41,110000
"181","Female","Walked",10,55,12000
"182","Female","Walked",25,36,135000
"183","Female","Walked",15,61,185000
"184","Female","Walked",15,41,142000
"185","Female","Walked",18,50,247000
"186","Female","Walked",30,24,70010
"187","Female","Walked",30,47,12000
"188","Female","Walked",20,42,60000
"189","Female","Walked",20,43,140000
"190","Female","Walked",10,30,73000
"191","Female","Walked",10,29,75000
"192","Female","Walked",5,56,15000
"193","Female","Walked",55,54,35300
"194","Female","Walked",6,37,57300
"195","Female","Walked",30,39,20000
"196","Female","Walked",15,22,13500
"197","Female","Walked",25,27,34400
"198","Female","Walked",42,45,180000
